clientMac,group,uniquePlaces,totalTime,size
8a02fd963760d4a284525d969283789c2a2193d18ba3544f43187473,dorm-start-end (busride),17,2636,64
8b744785f1a27543b7058534a394479871e4cb32b4254a9092a5d884,others (busride),7,2649,64
8ba978ff2ca262bc26fedac353523059c695ea4f8b307bfc098521e2,dorm-end (busride),5,2660,64
8be71a1d2220e7ca2366da024b5a5caede741e21cc6314e466a62e8f,others (busride),2,2662,64
8d878bf5e0af7ca55e35ba1e1c4e0e5d40b8132325b55527b9fcd0eb,others (busride),1,2669,64
97b24115ea371f72b0a9d068cbe9bf69b81ea0c5a11f206834bd9bef,dorm-end (busride),8,2697,65
9bd1c63125f0bcfe299de436aa39a62c392aef038a8a44cf5d471a09,others (busride),6,2699,65
9bd270d7a579ef7d58ebae8c69cc40fcc35c0c050b031da267f31371,dorm-start-end (busride),2,2712,65
9cb0e073a4aa755b5ecaa8a57eac4d4cdca245a0984c151da748ac9e,dorm-end (busride),3,2719,66
9ce67ade40ce7ebc87cd80161510d14fa80b6ead2d6ccceef70760f3,dorm-start (busride),10,2722,66
9e01648c78df26363ad9ece8167064c2b2750c675bff0c2f5c6f5ded,dorm-end (busride),3,2730,66
9e21c0c7da5bd8cbbad8c4b882246f4b3e027edc021b91eab0ee749f,dorm-start-end (busride),17,2762,67
9f773fe022a605f268c30f2d323451eb4b8e15920ca5ea4550751469,dorm-start (busride),3,2774,67
a2baaa8ed6683c8a67db095e01ba70a24f78a380f559b9584b960b27,dorm-start-end (busride),9,2784,67
a65b936d9c18c869188fa98eb69404abfb401702afa48ab9d4d79416,others (moving),2,2792,67
a90ece04db589ce4c3239cbae9646b77d5f063200682e27bc6b29ac0,dorm-end (busride),2,2794,67
aa4b648bc81265ffc03c648f84e2177a07bb53230e9904ac0fe1e942,others (busride),1,2837,69
ac0cbcd27aa424e23e07042807aa5ba940e0085f84ec2abbf40e30ca,others (busride),1,2845,69
aca4da0cab140a69a2b4ebe91edcf645005359590cb51f8b1c292fce,dorm-start-end (busride),13,2853,69
acb15a0c02b59cc84b3461873bf13cca794b7aaec91968359f92b626,others (busride),3,2893,70
ae5ccef555cfc26092cb3d8b340d4c4a645148eec4f737b38e230302,others (busride),4,2899,70
af12175d885b8471bbf9e961ad93f1de5221ec60fa101f85975d706e,others (busride),1,2907,70
af19a4af4cf4b897ef6de9f5a50bbcc30034a2caab65ff1215729001,dorm-end (busride),17,2914,70
b09a6f40acfee7e6b193979538430bc7af4027caadd3b78578e4c27f,dorm-start-end (busride),7,2962,72
b0f926eec2e5be3bdbb8266a41893be2178f57c943e809b99a31d9f0,dorm-start-end (moving),7,2969,72
b10a84ed1b5890af290847278a4defa51341d93d13580ff43206a118,others (busride),2,3024,73
b242746eb2132caad3f71bf515768a28f6357758e378de1b0be22753,dorm-start-end (busride),2,3031,73
b423b986cf97f2e6618d6a3f1311e9e1048c1ca72526d7d9b290761c,dorm-start-end (busride),6,3082,74
b80973d2b1022eae2f5716e93e87d640fcb86538c42b2ae0527522b2,others (busride),1,3092,75
b84eb9dea4304e6f74d4edf3a68d56115ee5b71a4a8906ad45e6a537,dorm-end (busride),7,3092,75
b88459f26bfb3833a476edada911d1348ef9bc1a5839bf2ca8a73a31,others (busride),6,3154,76
b94150311697536d1fd12c56df1ac7d2e94349a5f079da20330b5b82,dorm-start (busride),4,3202,77
b99d5f424461c4bd4c92e9bcedda18948d771c55d93aae017cddd304,dorm-start (busride),4,3216,78
b9c0ef17e428a95a6acf8dac46e8085f9c9577cbf4146b69b8e5447e,dorm-start-end (busride),11,3243,78
bab2ba00bf7fd9f3987fcba7962f118b0e8e2bb09bed9eeead8166c1,others (busride),4,3244,78
bb36244651f8baa90dd73517a5b3754c47f7076008927be431892c6a,dorm-end (moving),4,3249,79
bcc9bacd760a1b4ca73040fba90bb6d24ffef47037ecbfb7e0a1778b,others (busride),6,3260,79
bd64f64709b52901982ce609887db1338b74aca790cac890bc9feb8b,dorm-start (busride),7,3314,80
bd9d4b0fb617ff356a3c91a2accd6d15de6bf27ae37d2db690b8f0b9,others (moving),2,3318,80
bdb09fe01eef0392547d2647c9a0f366baa5bfaf15828c2faa00931e,dorm-start-end (busride),7,3322,80
bdea0b546a3eb2636d8b7cf246a2798936433abc72aec5c6e89451c1,others (busride),2,3330,81
be287b965360caf9b33c27037fa81481dc1ada53cf46b89b93b4ae66,dorm-start-end (busride),7,3336,81
be66df9aa66f33474a884cc02760508b0883c27dd411b6f9656d3d2e,dorm-end (busride),2,3345,81
be98e97fe2edc6779ef08450b660fc1bccbf9c20f244020b87d5d42a,dorm-start-end (busride),6,3353,81
c23758855189ec3d2a25b6020e9474f7d782bbc79d7106118e369ad6,others (busride),2,3354,81
c384f0ce93d34264ba5ad9c17bd198d23c42a4de703030f0e14158b0,others (busride),4,3376,82
c4a4a866998130f3fba726a9b0a175ac310634ded950d9654cc3f80d,others (busride),1,3384,82
c4ac2805f8a630487ec37b955a333e58232e461d212b0bebab2f5552,dorm-start-end (moving),8,3392,82
c63d46d943418156c4cb1dedcffffe765ed636e29a96bcdb07fb4530,dorm-start-end (busride),7,3392,82
c7ebcc9c9cf66167bd36341b1e3ab2db241eb42952522b5358edd5c7,dorm-start-end (busride),7,3393,82
c99d9d6a63ad7684cd524b5cbd54d040c6e4149c66f1f40106f010e8,dorm-start-end (busride),7,3394,82
c9a17bea3d503a4381ca3c7feaff3194f7ed117224d58cccb2c367f0,others (busride),5,3397,82
cb406113a206f9eee4114a4a49bdafce39ee78364585693f168760b1,others (busride),1,3398,82
cbfbc9f28369b20b5ae3242cfc0ef83a0a25d114fcdf330a327e1dec,others (busride),1,3407,82
cc1b447dc6a2d04bd7d9b02d544da81adbc3bcf050431e3f5d73a4a9,dorm-start-end (busride),11,3414,83
cca79e2d4af32b69ab92780b8c9e971769f2eb06d7c33752b2c58377,others (moving),7,3439,83
ccfe15349eb5c737fcb25136d954e51e0051bfa2630352c812552d11,dorm-start (busride),3,3445,83
cd56caafa3474ad99e36e255c5f10a498a6b3f43a712082d4341be9d,dorm-start-end (busride),5,3454,84
d13f240b2c0a8288d7b24d496cd37fbd84a201276cfc79557cbc432f,dorm-start-end (busride),2,3454,84
d277d58fb722c446bd19aa91c35264ee14042789d1accbcf0802aa10,dorm-start-end (busride),16,3456,84
d4da2e457a5c9abbfd3ec65dc12ebf47062117939572d5ae1ba696dd,dorm-start (busride),6,3460,84
d52d4a437925806a30da8dfb1744f14ccf1a32f51b75983689bd252f,others (busride),12,3460,84
d560532eab9b7203d056760c4a76c732c91554302dab60fecadd4f08,others (busride),5,3466,84
d7068d4e5403667978f96af5baf2abecf10057900e50b567e14a8f88,others (busride),5,3476,84
da76b6ad8d1153975070def1534cca81f20194c9ff3e1bf426d5023c,others (busride),1,3476,84
dae1eb8d0cf32c2d4f13c03af0c0182a6728655854dd61b68d048577,dorm-end (busride),10,3485,84
dd1e7422da65644d85c5a2f92db07cb1b222126e98826cd3c1d81a33,others (busride),1,3493,84
ddfef9d68b8d45ff69ec84b26bba3bca8334749564377dd4e45e4934,dorm-start-end (busride),7,3502,85
de02401a8de8666b31fd687ac81d19931d343ce756c06181b502cc8c,dorm-start (busride),5,3504,85
de6ac8606e2dd89b6572d707b03ba6eeb4a223e5e79cd8d9e1c6ccc3,dorm-start-end (busride),8,3520,85
df67ad2a930bb5fcdea4c22c3b1409893cf8b38253540c8f3a1ff860,dorm-start-end (busride),21,3522,85
df6844ffefa8682bed84cf2b6f658622b382bf57b2766aa99cef5514,others (busride),4,3525,85
e1369f96b9088dc96637da4fb7468f81f57992e08ccff10efc25b85f,dorm-start-end (moving),2,3528,85
e14b75760797f28254f39b8f0055d5b6ac637079fc5a2590260bd431,dorm-end (busride),7,3538,86
e1b8ac0b6776b4a951c5f618fb5a70c46091a00e12a8dd27762880fb,dorm-start-end (busride),11,3548,86
e40f0b92ae1b6ce7d860e4ffb676ad80f361196ff7677eed9d45518d,dorm-end (busride),7,3549,86
e418f22a6148f5a6765420d56b8f92aefa9dbfdd26791546d51cf525,others (busride),1,3583,87
e84ecf27f3fae26139c333884a6b08acedca5fe99bf8fc27b36c449c,others (busride),5,3587,87
eaad5f1db14b59744b7721247e6cc2bd2a5b9c16c9586c2ac7ef5ffe,dorm-start-end (busride),10,3600,87
ecb1e51dac3861a8f96b2468a8847346b8fc3fa2550faecbbdb23108,dorm-start (moving),9,3603,87
ecd9311d070cd673445a8fa0ae09fe4608a45df5e36acf4b1fa432d2,others (busride),10,3620,88
ee39e5cbf25c4285bf667bc0fd85714e1d05a2115e7375328aac4d50,others (busride),5,3646,88
ef780c20415c5248da6d04812df34198bc68dc946a43f51915039c47,others (busride),13,3681,89
efb282ee36d357346fffbb94d5cc340dd449644cd407f457b78f6a24,dorm-end (busride),9,2,1
f122998b719fecd9acd02c7d8f59b3758a923469ca129bd67bb3c3a2,others (busride),1,174,4
f15b6b144f2a3849da0226cc71395a582d969f3e73628a701513812d,others (busride),9,131,3
f1cc1495ee66c8e62641cf17cb02eb51cfe0fc9c2e4a319a1f9dd4a6,others (busride),7,131,3
f2d142859e022adf27ca8a61332baedb69082288785802524e3906b1,dorm-end (busride),6,135,3
f37274ef2bc8a27315ee5105520c360612fa3acfea33a3bf50a7d4fd,dorm-start (busride),5,141,3
f5fba3cfe167a81b044c1ccb7f2b74770f9139e3438094a51f353dc5,dorm-start (busride),28,152,3
f69d97868c2142c24ae3dcccbc7a917f064469996e4cd38d525411b4,dorm-start-end (busride),7,157,3
f74aecd432edbb25c3b7fae23d899f54cf5c4fcc5790238de851c5ab,others (busride),1,162,3
f7b7902a8d478cb4d1abb7e9fbae109d4f0f7d2c830687772f1ebdac,dorm-start-end (busride),2,163,3
f86862ae17c09fa527415b4ce7aa5c0d41b39b8298e2807a2e54e5b4,others (busride),5,169,4
f906e212ad8585ca6fbf784ef4c7db925c9972b2305c729037f0d9cb,dorm-start-end (busride),4,182,4
f9e1e9b05a376f974546456f7f9729d9716c1f46bc46b1636db5ec2c,others (busride),1,201,4
fa64c4b0248b02bfc120774a22c56784a01ee9101e8c8576ee438e09,dorm-start (busride),15,202,4
faa993f8f5468c490cb766265144198e9d11b09a3686eb41a8aeb581,others (busride),2,213,5
fc0a2be578d7972c5cf7002f703709a8842aa02008e3599eced0ef6a,others (busride),5,218,5
fdfe5ff950b3adce5dfb0210278ffe64f7817f82f2e46228cd3f921a,dorm-start-end (busride),3,223,5
fe2e99da5d02ac2bd251dd2632f08c234711dc373462f3c07993af88,dorm-end (moving),5,224,5
ff3105f5ced5210313ef97e8e4d4983c34acceb5060950d2bc201e7e,others (busride),2,230,5
ffeb014c6f40479208aa25701cf97dd30fba53eb6f3e6027c3b03f37,dorm-end (busride),6,241,5
